Все животные в отсортированном порядке:
Киви - фламинго - 3 кг
Розовый - фламинго - 3 кг
Белка - сурикат - 4 кг
Лея - фламинго - 4 кг
Луна - фламинго - 4 кг
Скай - ястреб - 4 кг
Снежок - заяц - 4 кг
Тимон - сурикат - 4 кг
Земля - сурикат - 5 кг
Орфей - орел - 5 кг
Шура - сурикат - 5 кг
Ева - лиса фенек - 6 кг
Зевс - орел - 6 кг
Милашка - сурикат - 6 кг
Орел - орел - 6 кг
Лаки - соболь - 7 кг
Птичка - соболь - 8 кг
Норка - енот - 9 кг
Оливер - енот - 9 кг
Бусинка - енот - 10 кг
Айс - пингвин - 11 кг
Жулик - енот - 11 кг
Линда - енот - 12 кг
Пороро - пингвин - 12 кг
Рере - пингвин - 13 кг
Челси - лиса - 13 кг
Коди - пингвин - 14 кг
Феня - лиса - 14 кг
Сестрица - лиса - 15 кг
Сима - лиса - 16 кг
Ирис - лиса - 17 кг
Барсик - рысь - 18 кг
Гера - лиса - 18 кг
Грибочек - лиса - 18 кг
Высь - рысь - 19 кг
Рыка - рысь - 20 кг
Кира - рысь - 21 кг
Пушистик - рысь - 22 кг
Терра - рысь - 23 кг
Рокси - рысь - 24 кг
Тим - обезьяна - 24 кг
Дина - обезьяна - 26 кг
Няня - обезьяна - 27 кг
Ветер - косуля - 29 кг
Гуфи - обезьяна - 29 кг
Роса - косуля - 31 кг
Луна - волк - 32 кг
Лада - косуля - 34 кг
Волк - волк - 36 кг
Работа - волк - 38 кг
Флинт - волк - 39 кг
Туман - волк - 41 кг
Шериф - волк - 43 кг
Кай - снежный барс - 44 кг
Серый - волк - 44 кг
Нокс - снежный барс - 46 кг
Каспер - снежный барс - 47 кг
Умник - шимпанзе - 48 кг
Апельсинка - капибара - 51 кг
Шая - капибара - 53 кг
Мята - капибара - 54 кг
Капибара - капибара - 56 кг
Нелли - альпака - 58 кг
Триша - альпака - 60 кг
Тюльпан - альпака - 62 кг
Магнолия - альпака - 63 кг
Аметист - пума - 66 кг
Бэлла - леопард - 67 кг
Дымка - пума - 68 кг
Грей - леопард - 69 кг
Юта - пума - 70 кг
Пума - пума - 71 кг
Веста - леопард - 72 кг
Дора - пума - 73 кг
Аврора - леопард - 74 кг
Персик - орангутан - 77 кг
Мира - кенгуру - 79 кг
Стелла - кенгуру - 83 кг
Ева - кенгуру - 85 кг
Арфа - антилопа - 87 кг
Заря - антилопа - 89 кг
Фред - кенгуру - 91 кг
Вега - антилопа - 92 кг
Искра - антилопа - 95 кг
Яша - ягуар - 96 кг
Денди - страус - 97 кг
Топаз - ягуар - 98 кг
Бруно - ягуар - 101 кг
Трус - страус - 104 кг
Панда - панда - 109 кг
Папанда - панда - 112 кг
Плюша - панда - 115 кг
Наоми - панда - 118 кг
Жасмин - лама - 126 кг
Кузко - лама - 128 кг
Мила - лама - 130 кг
Сальма - лама - 132 кг
Кузя - кабан - 140 кг
Шустрик - лама - 145 кг
Макс - кабан - 148 кг
Рой - кабан - 150 кг
Пумба - кабан - 155 кг
Мускат - кабан - 162 кг
Вилли - осел - 175 кг
Платон - осел - 185 кг
Оскар - осел - 190 кг
Симба - лев - 198 кг
Король - лев - 205 кг
Тайфун - лев - 208 кг
Бакс - лев - 212 кг
Тигра - тигр - 220 кг
Тайга - тигр - 228 кг
Сафира - тигр - 232 кг
Ти - тигр - 235 кг
Арчи - тигр - 240 кг
Подлодка - морской лев - 245 кг
Рубин - тигр - 245 кг
Нептун - морской лев - 260 кг
Есения - зебра - 275 кг
Рада - зебра - 280 кг
Моника - зебра - 290 кг
Тедди - медведь - 295 кг
Полоска - зебра - 300 кг
Миша - медведь - 310 кг
Морис - медведь - 330 кг
Ральф - медведь - 340 кг
Мишка - медведь - 360 кг
Мурка - корова - 410 кг
Умка - белый медведь - 410 кг
Молния - лошадь - 430 кг
Тор - лось - 430 кг
Вихрь - лошадь - 460 кг
Дунай - лошадь - 470 кг
Грант - верблюд - 540 кг
Лавр - верблюд - 560 кг
Граф - верблюд - 590 кг
Аякс - бизон - 680 кг
Север - бизон - 705 кг
Гром - бизон - 720 кг
Высотка - жираф - 780 кг
Зубр - зубр - 790 кг
Грэм - зубр - 810 кг
Марта - жираф - 810 кг
Корсар - зубр - 830 кг
Сонатa - жираф - 840 кг
Гоша - бегемот - 1600 кг
Бегемотик - бегемот - 1750 кг
Шторм - носорог - 2100 кг
Единорог - носорог - 2250 кг
Рожок - носорог - 2300 кг
Великан - слон - 4900 кг
Юпитер - слон - 5200 кг
Слоник - слон - 5400 кг

3 самых лёгких животных:
Киви - фламинго - 3 кг
Розовый - фламинго - 3 кг
Белка - сурикат - 4 кг

3 самых тяжёлых животных:
Великан - слон - 4900 кг
Юпитер - слон - 5200 кг
Слоник - слон - 5400 кг

Животные с массой 18 кг:
Барсик - рысь - 18 кг
Гера - лиса - 18 кг
Грибочек - лиса - 18 кг

Группы животных с одинаковой массой:
3 кг:
  Киви — фламинго
  Розовый — фламинго

4 кг:
  Белка — сурикат
  Лея — фламинго
  Луна — фламинго
  Скай — ястреб
  Снежок — заяц
  Тимон — сурикат

5 кг:
  Земля — сурикат
  Орфей — орел
  Шура — сурикат

6 кг:
  Ева — лиса фенек
  Зевс — орел
  Милашка — сурикат
  Орел — орел

9 кг:
  Норка — енот
  Оливер — енот

11 кг:
  Айс — пингвин
  Жулик — енот

12 кг:
  Линда — енот
  Пороро — пингвин

13 кг:
  Рере — пингвин
  Челси — лиса

14 кг:
  Коди — пингвин
  Феня — лиса

18 кг:
  Барсик — рысь
  Гера — лиса
  Грибочек — лиса

24 кг:
  Рокси — рысь
  Тим — обезьяна

29 кг:
  Ветер — косуля
  Гуфи — обезьяна

44 кг:
  Кай — снежный барс
  Серый — волк

245 кг:
  Подлодка — морской лев
  Рубин — тигр

410 кг:
  Мурка — корова
  Умка — белый медведь

430 кг:
  Молния — лошадь
  Тор — лось

810 кг:
  Грэм — зубр
  Марта — жираф


Process finished with exit code 0
